arrived_at,num_prefill_tokens,num_decode_tokens
58.014,7883,3
58.014,6621,3
58.014,1899,720
58.014,1379,722
61.07,3183,24
61.07,6956,3
61.07,7718,191
61.07,891,449
61.07,6889,28
61.07,7077,35
61.07,11375,337
61.07,2707,359
61.07,7164,3
61.07,6165,23
61.07,6991,3
64.123,19771,161
64.123,3135,18
64.123,893,133
64.123,18295,575
64.123,21612,467
64.123,7081,48
64.123,6787,28
67.176,6454,3
67.176,1527,513
67.176,7339,3
67.176,10930,247
67.176,7011,53
67.176,11954,463
67.176,977,427
67.176,7443,319
67.176,6486,33
67.176,1071,481
67.176,14310,364
67.176,102860,401
67.176,75499,531
67.176,15215,300
67.176,3063,16
67.176,6794,3
67.176,7133,3
70.228,10109,509
70.228,3150,21
70.228,7083,25
70.228,4882,353
70.228,4573,225
70.228,892,334
70.228,7746,3
70.228,6942,31
70.228,9916,356
70.228,1173,120
70.228,6312,3
70.228,9263,306
70.228,71917,433
70.228,1338,128
70.228,2100,508
70.228,16528,725
70.228,6895,3
70.228,3339,22
70.228,3223,20
70.228,3144,16
73.281,3150,18
73.281,17024,904
73.281,1623,578
73.281,1531,356
73.281,8423,19
73.281,3129,17
73.281,4073,21
73.281,3216,16
73.281,6586,3
73.281,16877,431
73.281,4071,24
73.281,19949,448
73.281,1573,579
73.281,9547,713
73.281,6508,565
76.334,13532,480
76.334,896,286
76.334,7168,36
76.334,6295,413
76.334,3211,26
76.334,8760,121
76.334,38147,316
76.334,5077,476
76.334,6990,461
76.334,37873,532
76.334,17577,464
76.334,17793,576
76.334,14331,501
76.334,8629,835
76.334,6521,26
76.334,920,452
76.334,964,637
76.334,13984,315
76.334,7306,25
76.334,6532,442
79.39,51114,620
79.39,3159,21
79.39,4208,20
79.39,6178,3
79.39,16964,526
79.39,3132,21
79.39,6522,26
79.39,3128,19
79.39,6221,25
79.39,45064,109
79.39,6686,25
79.39,7087,3
79.39,6487,3
79.39,7116,51
79.39,5383,545
79.39,6449,3
79.39,6164,3
79.39,6593,57
79.39,6214,3
79.39,6169,3
82.443,7256,3
82.443,6735,3
82.443,1359,480
82.443,22072,367
82.443,6175,3
82.443,1638,567
82.443,3213,20
82.443,4299,22
82.443,4380,22
82.443,3245,20
82.443,13104,172
82.443,4047,547
82.443,904,28
82.443,7214,3
82.443,6178,3
